State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
Wisconsin  la crosse  2010  1  253.8  107.2   Rural
Minnesota  nicollet  2010  1  73.0  28.7   Rural
Michigan  livingston  1991  1  276.1  103.7   Rural
North Carolina  forsyth  2010  2  859.2  384.4   Rural
Colorado  alamosa  1998  1  20.7  8.4   Rural
Wisconsin  adams  2009  1  32.3  27.0   Rural
Oregon  linn  1995  3  45.0  18.6   Rural
Texas  smith  2008  5  227.6  94.8   Rural
Arkansas  crittenden  1997  1  83.4  33.6   Rural
Texas  llano  2008  1  20.7  15.3   Rural
Virginia  arlington  1997  1  7323.3  3495.4   Urban
Kentucky  rowan  2003  2  83.4  36.1   Rural
Virginia  amherst  2001  1  68.3  29.5   Rural
Colorado  pueblo  2009  3  66.7  29.1   Rural
Washington  grant  2008  3  33.3  13.1   Rural
Minnesota  ramsey  2004  1  3341.6  1426.9   Urban
Maryland  montgomery  2004  3  1978.2  765.2   Urban
Minnesota  beltrami  1997  1  15.8  6.8   Rural
Washington  clallam  2001  6  41.1  20.5   Rural
Oregon  polk  2003  1  101.8  40.9   Rural
South Dakota  minnehaha  2010  1  210.0  88.7   Rural
Indiana  steuben  2007  2  110.7  62.7   Rural
New Jersey  warren  2008  2  304.5  125.9   Rural
Iowa  dallas  2009  3  112.4  46.3   Rural
Indiana  marshall  2008  1  106.1  44.7   Rural
Vermont  rutland  2004  1  66.3  36.3   Rural
Texas  lubbock  1998  2  269.7  111.8   Rural
Michigan  genesee  1991  1  681.9  287.1   Rural
Missouri  schuyler  1996  1  13.5  6.6   Rural
Iowa  mahaska  2005  1  39.2  17.1   Rural
Pennsylvania  lehigh  2007  5  1012.5  413.2   Rural
Oregon  multnomah  1998  2  1517.6  663.0   Urban
Minnesota  dakota  2004  10  709.0  283.9   Rural
Michigan  charlevoix  2009  1  62.3  41.4   Rural
Maryland  washington  2008  5  322.1  132.8   Rural
Texas  navarro  2001  1  47.3  20.0   Rural
Alabama  madison  2005  6  417.7  182.7   Rural
Maryland  allegany  2004  2  177.0  78.5   Rural
Kansas  sedgwick  2001  5  499.6  212.1   Rural
Colorado  douglas  2006  8  339.7  127.2   Rural
New Mexico  sandoval  1994  3  24.2  9.4   Rural
Illinois  jo daviess  2009  1  37.7  22.6   Rural
Kansas  bourbon  1998  1  24.1  11.2   Rural
Colorado  arapahoe  2004  26  716.7  298.6   Rural
California  santa clara  2005  21  1381.0  489.8   Rural
Texas  collin  1999  14  580.1  229.9   Rural
Utah  utah  1999  5  184.4  52.2   Rural
Maryland  frederick  2009  2  353.5  136.5   Rural
Texas  dallas  2003  7  2718.0  1082.6   Urban
Iowa  polk  2000  9  657.9  274.8   Rural
Nebraska  hooker  2002  1  1.0  0.6   Rural
North Carolina  robeson  2004  1  141.3  55.6   Rural
Rhode Island  providence  1998  1  1504.1  612.7   Urban
Wisconsin  fond du lac  1999  1  134.6  54.3   Rural
Arkansas  johnson  2004  3  38.7  17.1   Rural
Colorado  boulder  2006  6  405.6  175.0   Rural
Ohio  jefferson  2009  1  170.7  80.4   Rural
Illinois  lake  2005  5  1585.6  586.7   Urban
Wisconsin  juneau  2006  1  34.8  19.1   Rural
Indiana  gibson  2005  3  68.7  30.0   Rural
New York  schuyler  2006  1  55.9  28.8   Rural
Alabama  lee  2005  2  230.8  102.7   Rural
Tennessee  montgomery  1995  1  249.9  96.7   Rural
Georgia  fulton  2007  5  1748.0  830.0   Urban
Ohio  lorain  2007  4  613.6  258.7   Rural
Florida  seminole  2003  5  1367.0  586.3   Urban
California  lassen  1991  1  7.4  2.6   Rural
Kentucky  fleming  2007  1  41.2  19.0   Rural
New Jersey  hudson  2010  2  13731.4  5852.5   Urban
California  alameda  2007  23  2043.6  788.3   Urban
Massachusetts  worcester  2006  5  528.6  216.3   Rural
California  imperial  2001  2  41.8  13.4   Rural
Florida  sarasota  1998  1  570.3  319.2   Rural
Ohio  seneca  2002  1  103.0  43.8   Rural
Michigan  wexford  2000  1  53.9  26.3   Rural
Colorado  moffat  2006  2  2.9  1.3   Rural
New York  new york  1993  2  66940.1  34756.7   Urban
Illinois  madison  2010  1  376.3  163.7   Rural
Florida  brevard  2006  21  535.0  265.7   Rural
Texas  denton  2002  6  754.3  291.6   Rural
Pennsylvania  jefferson  2005  1  69.3  34.4   Rural
Nevada  esmeralda  2001  1  0.2  0.2   Rural
Texas  liberty  2003  2  65.3  24.8   Rural
Washington  walla walla  1992  1  43.4  16.6   Rural
New Hampshire  merrimack  2001  6  156.8  68.0   Rural
Pennsylvania  montgomery  1992  1  1552.6  615.7   Urban
Arkansas  crawford  2003  1  104.4  44.0   Rural
West Virginia  grant  2002  1  25.0  13.3   Rural
Minnesota  wilkin  1999  1  9.5  4.1   Rural
Kentucky  madison  2001  2  189.6  80.1   Rural
California  napa  2004  2  182.4  73.2   Rural
Connecticut  new haven  1999  6  1360.6  562.6   Urban
Minnesota  isanti  2009  1  86.8  35.2   Rural
Virginia  franklin  1992  1  68.3  32.8   Rural
Kansas  pratt  2008  1  13.1  6.1   Rural
Pennsylvania  northumberland  2005  1  206.2  98.4   Rural
Kentucky  hopkins  2010  1  86.6  39.1   Rural
Ohio  fulton  2009  1  105.3  42.9   Rural
Florida  broward  1998  9  1346.5  614.8   Urban
Washington  benton  2004  4  103.0  40.4   Rural
New York  dutchess  1997  1  349.5  132.4   Rural
North Carolina  lincoln  1999  1  213.5  86.1   Rural
California  madera  2006  1  70.6  23.0   Rural
Pennsylvania  bradford  1998  1  54.5  24.9   Rural
Virginia  hanover  2001  1  213.1  81.9   Rural
Florida  charlotte  1995  1  204.2  115.0   Rural
Kentucky  breathitt  2003  1  28.2  12.7   Rural
Michigan  lenawee  2008  2  133.3  58.0   Rural
Florida  holmes  2005  1  41.6  18.0   Rural
Puerto Rico  san juan  2002  1  8262.3  4178.2   Urban
Wisconsin  sheboygan  2006  1  225.9  99.3   Rural
California  san mateo  1995  5  1574.7  580.3   Urban
Ohio  preble  1997  1  99.7  40.5   Rural
Texas  rusk  2000  1  51.3  21.5   Rural
Oregon  josephine  2002  4  50.4  23.2   Rural
Indiana  allen  2008  2  540.6  231.5   Rural
North Carolina  nash  2003  1  177.3  78.2   Rural
Pennsylvania  beaver  2000  3  417.8  179.1   Rural
Illinois  champaign  1999  2  180.2  75.5   Rural
Missouri  mcdonald  2010  1  42.8  18.4   Rural
Florida  indian river  2007  1  274.5  151.8   Rural
West Virginia  kanawha  1999  1  221.5  103.9   Rural
Pennsylvania  adams  2004  2  195.5  78.7   Rural
North Carolina  cleveland  2008  1  211.3  93.4   Rural
Missouri  cape girardeau  2008  1  130.8  56.4   Rural
Florida  okaloosa  2004  5  194.4  99.3   Rural
Minnesota  brown  2001  2  42.4  18.8   Rural
Illinois  mchenry  2004  1  511.9  192.4   Rural
Kentucky  mccracken  2005  1  263.6  124.9   Rural
California  san bernardino  2005  29  101.5  34.9   Rural
Kansas  wyandotte  2002  1  1039.0  440.3   Rural
Iowa  linn  2001  1  294.6  128.7   Rural
Oregon  union  2005  2  12.6  5.6   Rural
Tennessee  sumner  1995  1  246.5  97.6   Rural
North Dakota  morton  2006  1  14.3  6.3   Rural
California  sonoma  2003  12  307.1  129.8   Rural
Missouri  dallas  2000  1  28.9  12.8   Rural
Indiana  noble  2004  1  115.7  48.9   Rural
Texas  jasper  2005  1  38.0  17.9   Rural
Pennsylvania  pike  2000  2  84.7  63.4   Rural
Oregon  clackamas  1995  18  181.1  73.3   Rural
Wisconsin  vilas  2000  2  24.1  25.6   Rural
New Mexico  chaves  2003  1  10.8  4.4   Rural
Georgia  cherokee  2006  3  508.3  195.3   Rural
Colorado  mesa  2008  6  44.1  18.8   Rural
Michigan  livingston  1998  1  276.1  103.7   Rural
California  mendocino  2007  1  25.1  11.5   Rural
New York  niagara  2010  1  414.4  189.8   Rural
Georgia  coweta  2009  1  288.8  113.8   Rural
Maryland  baltimore  2005  7  1345.5  561.0   Urban
Ohio  hamilton  1998  1  2075.1  916.6   Urban
Missouri  jefferson  1998  3  301.6  115.1   Rural
Washington  clallam  2010  6  41.1  20.5   Rural
Virginia  nelson  1999  1  30.6  18.1   Rural
Maine  androscoggin  2006  1  230.2  104.9   Rural
Texas  pecos  2003  1  3.3  1.2   Rural
Arizona  maricopa  1993  5  333.8  135.8   Rural
Ohio  pickaway  2007  2  111.1  42.4   Rural
Kentucky  barren  2001  1  86.5  39.4   Rural
Texas  coryell  2008  3  71.7  23.9   Rural
Alabama  henry  2004  1  30.8  15.8   Rural
Georgia  laurens  2003  1  60.0  26.5   Rural
Massachusetts  franklin  2006  1  102.1  48.3   Rural
Virginia  augusta  1999  2  67.6  27.6   Rural
California  solano  1995  5  475.8  162.2   Rural
Maryland  washington  2007  4  322.1  132.8   Rural
Colorado  teller  2002  1  41.9  22.7   Rural
Michigan  washtenaw  2001  2  488.4  209.0   Rural
Tennessee  perry  2006  1  19.1  11.1   Rural
Texas  collin  2006  7  930.0  357.8   Rural
Texas  dallas  2010  3  2718.0  1082.6   Urban
North Carolina  dare  2009  2  88.5  87.4   Rural
Georgia  baldwin  2008  1  177.3  78.2   Rural
Kentucky  bullitt  2008  1  250.2  98.7   Rural
Texas  williamson  2007  4  378.0  145.6   Rural
Pennsylvania  lycoming  2009  2  94.5  42.7   Rural
Nevada  churchill  1999  1  4.9  2.0   Rural
Massachusetts  hampden  2000  2  737.8  300.6   Rural
Washington  douglas  1997  1  17.9  7.1   Rural
Hawaii  honolulu  1993  1  1460.8  526.9   Urban
Michigan  eaton  2000  2  179.8  73.1   Rural
Texas  live oak  2006  1  11.1  5.8   Rural
Arkansas  garland  2001  2  141.7  74.6   Rural
Nevada  washoe  1995  5  53.5  22.7   Rural
Indiana  harrison  2006  1  81.2  34.1   Rural
Ohio  warren  2009  6  530.0  201.2   Rural
Tennessee  sullivan  1997  1  370.6  167.2   Rural
Illinois  will  2008  13  809.6  283.8   Rural
Washington  clark  2005  9  676.2  266.2   Rural
Texas  lamar  2002  2  54.9  24.8   Rural
Ohio  lorain  1996  1  578.0  226.1   Rural
Tennessee  tipton  2007  1  133.3  50.6   Rural
Indiana  hamilton  2002  10  696.4  270.8   Rural
Illinois  woodford  2004  2  73.3  28.7   Rural
Pennsylvania  clarion  2003  1  66.6  33.2   Rural
Montana  gallatin  2005  2  34.4  16.2   Rural
Massachusetts  worcester  1993  1  496.3  197.1   Rural
North Carolina  ashe  1993  1  57.2  31.1   Rural
Wisconsin  waukesha  1993  2  649.4  252.5   Rural
California  calaveras  2003  3  44.7  27.4   Rural
Georgia  cobb  2001  7  2026.4  843.7   Urban
Alabama  tuscaloosa  2008  3  147.3  64.2   Rural
New Jersey  middlesex  1997  1  2422.1  883.5   Urban
Florida  marion  2002  3  209.1  103.5   Rural
Illinois  madison  2003  1  376.3  163.7   Rural
Wisconsin  clark  2007  1  28.7  12.5   Rural
Wisconsin  dodge  2007  2  101.4  42.3   Rural
Minnesota  olmsted  2002  1  220.8  92.6   Rural
California  monterey  1999  6  120.9  39.6   Rural
Alabama  mobile  1999  1  324.3  133.9   Rural
Georgia  bartow  2009  1  217.9  86.7   Rural
Indiana  spencer  1997  1  51.1  20.9   Rural
Michigan  dickinson  2001  2  34.4  18.4   Rural
Pennsylvania  montgomery  2001  3  1655.9  674.3   Urban
Oklahoma  creek  2006  4  73.6  31.3   Rural
Texas  bowie  2009  2  104.6  43.5   Rural
Oregon  marion  2004  5  266.7  102.3   Rural
Arkansas  crawford  2010  3  104.4  44.0   Rural
Kentucky  madison  2008  3  189.6  80.1   Rural
Wisconsin  winnebago  1995  2  357.4  147.6   Rural
New York  oswego  2005  2  128.3  56.3   Rural
Wisconsin  lincoln  1999  3  33.6  16.6   Rural
Texas  garza  2000  1  5.4  2.2   Rural
Florida  alachua  1993  1  249.3  108.8   Rural
Georgia  catoosa  1995  2  328.4  134.3   Rural
Connecticut  new haven  2008  15  1426.7  598.8   Urban
Georgia  barrow  2006  1  432.7  164.7   Rural
Pennsylvania  westmoreland  2007  9  355.4  163.7   Rural
New York  jefferson  2002  2  91.6  45.7   Rural
Colorado  garfield  2005  2  19.1  7.9   Rural
California  sacramento  2000  12  1267.0  491.7   Rural
Kentucky  hopkins  2005  2  86.6  39.1   Rural
California  inyo  2006  1  1.8  0.9   Rural
North Carolina  gates  1997  1  30.9  12.9   Rural
North Carolina  granville  2002  1  112.7  42.9   Rural
Washington  benton  1999  6  83.7  32.9   Rural
Florida  broward  2005  17  1444.9  669.9   Urban
Kansas  riley  2005  1  116.6  46.3   Rural
Texas  galveston  2006  2  769.9  350.2   Rural
North Carolina  lincoln  2004  1  262.7  112.9   Rural
Montana  ravalli  1999  3  15.1  6.7   Rural
Oregon  columbia  2006  2  75.1  31.5   Rural
Michigan  lenawee  1999  1  131.8  53.0   Rural
Ohio  lake  2003  1  1011.2  444.9   Rural
Kansas  linn  1999  1  16.0  7.9   Rural
Missouri  franklin  2001  2  110.0  47.1   Rural
Wisconsin  sheboygan  1997  1  219.3  89.5   Rural
California  san mateo  2000  19  1574.7  580.3   Urban
Alaska  fairbanks north star  2000  2  11.2  4.5   Rural
Utah  tooele  2005  2  8.4  2.8   Rural
Hawaii  kauai  2008  2  108.2  48.1   Rural
Ohio  preble  2004  1  99.7  42.2   Rural
Ohio  knox  2005  1  115.9  47.8   Rural
West Virginia  fayette  2002  2  69.6  32.7   Rural
California  lake  1998  2  46.4  25.9   Rural
Indiana  allen  2001  2  540.6  231.5   Rural
Texas  leon  2008  1  15.7  8.9   Rural
Texas  brazos  1995  1  260.2  100.8   Rural
New York  orleans  2001  1  109.6  47.1   Rural
Alabama  cullman  2005  3  109.4  50.4   Rural
West Virginia  kanawha  2006  1  214.1  102.7   Rural
North Carolina  pamlico  2004  1  39.1  22.4   Rural
New Hampshire  carroll  2006  1  51.4  42.8   Rural
Washington  kittitas  2007  2  17.8  9.5   Rural
Mississippi  tippah  1998  1  45.5  19.4   Rural
Michigan  crawford  1999  1  25.6  18.0   Rural
Idaho  canyon  1992  1  222.9  81.3   Rural
Kansas  wyandotte  2009  1  1039.0  440.3   Rural
Iowa  linn  2010  4  294.6  128.7   Rural
Florida  monroe  1998  3  79.8  51.8   Rural
California  trinity  2009  2  4.3  2.7   Rural
Kentucky  kenton  1996  1  935.2  392.5   Rural
Pennsylvania  butler  2010  2  233.1  99.1   Rural
Colorado  jefferson  2002  7  699.5  300.9   Rural
New Mexico  san juan  2001  1  23.6  8.9   Rural
Illinois  monroe  2007  1  85.6  34.8   Rural
Texas  houston  2002  1  19.3  9.4   Rural
Indiana  noble  1999  1  112.6  44.4   Rural
Missouri  texas  2000  1  19.5  9.1   Rural
Ohio  franklin  2009  2  2186.1  990.6   Urban
Oregon  clackamas  2002  6  201.0  83.9   Rural
Tennessee  davidson  1994  1  1134.6  503.7   Urban
Wisconsin  portage  2000  1  83.3  33.0   Rural
South Carolina  berkeley  2005  6  161.8  66.8   Rural
Washington  spokane  2010  2  267.2  114.2   Rural
North Carolina  henderson  2009  3  286.1  146.6   Rural
Michigan  livingston  2001  2  320.2  128.8   Rural
South Dakota  lincoln  2007  2  77.7  31.0   Rural
Texas  angelina  2007  1  108.8  44.6   Rural
Indiana  greene  2010  2  61.1  28.0   Rural
Iowa  marshall  2007  1  71.0  29.4   Rural
Maryland  baltimore  1996  4  1260.1  524.1   Urban
Indiana  martin  2009  2  30.8  14.3   Rural
Colorado  pueblo  1995  2  59.2  24.7   Rural
Oregon  douglas  1999  1  19.9  8.6   Rural
Illinois  menard  2002  1  40.4  18.0   Rural
South Carolina  richland  2004  1  507.9  213.6   Rural
Missouri  jefferson  2005  2  333.1  133.4   Rural
Colorado  weld  2009  3  63.4  24.1   Rural
Florida  martin  2009  1  1315.5  521.4   Urban
Minnesota  hennepin  2010  3  2081.7  920.3   Urban
Oregon  clatsop  2006  1  44.7  26.0   Rural
Arkansas  newton  2005  1  10.1  5.7   Rural
California  yolo  1992  1  166.5  60.8   Rural
New Jersey  burlington  2002  1  561.9  219.9   Rural
Florida  santa rosa  2009  2  149.6  64.0   Rural
Texas  comal  1993  1  139.0  58.3   Rural
Ohio  ashtabula  2003  2  144.6  65.7   Rural
Colorado  eagle  2009  3  31.0  18.6   Rural
North Carolina  union  2010  1  318.7  115.4   Rural
Michigan  chippewa  2009  1  24.7  13.6   Rural
Texas  aransas  2005  1  91.9  60.9   Rural
Colorado  san miguel  1998  1  5.1  4.0   Rural
Michigan  washtenaw  2008  4  488.4  209.0   Rural
Delaware  kent  2000  2  214.8  85.6   Rural
New Mexico  sierra  1997  1  3.2  2.1   Rural
Florida  volusia  2001  10  449.2  230.9   Rural
Arizona  coconino  2010  1  7.2  3.4   Rural
Washington  pierce  1998  14  417.4  165.0   Rural
North Carolina  dare  2000  2  78.1  69.5   Rural
Tennessee  stewart  2010  1  29.0  14.8   Rural
California  stanislaus  2007  6  344.2  120.1   Rural
Massachusetts  hampden  1993  1  737.8  300.6   Rural
Washington  douglas  2004  9  21.1  8.8   Rural
Idaho  bingham  2002  1  21.8  7.7   Rural
North Carolina  wake  1999  2  754.7  311.3   Rural
Illinois  cook  2007  65  5495.1  2306.5   Urban
Pennsylvania  centre  2005  2  138.7  57.0   Rural
Georgia  rockdale  2007  1  656.5  256.3   Rural
Missouri  henry  2006  2  32.0  15.6   Rural
California  mariposa  1992  1  11.8  6.1   Rural
Texas  ector  2002  3  152.8  59.1   Rural
Texas  cameron  1995  1  370.1  132.1   Rural
Michigan  jackson  1997  2  224.2  89.0   Rural
New York  nassau  2001  8  4704.8  1645.0   Urban
Georgia  columbia  2002  3  427.6  167.6   Rural
Illinois  montgomery  2002  1  42.8  18.6   Rural
New York  montgomery  2005  1  124.6  57.2   Rural
Maine  aroostook  2003  2  10.8  5.9   Rural
Wyoming  sheridan  2004  1  11.5  5.5   Rural
Virginia  pittsylvania  2009  1  65.5  32.3   Rural
Ohio  ottawa  2003  1  162.5  109.5   Rural
Kansas  shawnee  2010  6  327.1  145.5   Rural
Michigan  houghton  2002  1  36.3  18.5   Rural
Maryland  anne arundel  2004  7  1295.9  512.3   Urban
Georgia  cobb  2010  5  2026.4  843.7   Urban
Florida  sarasota  2008  1  682.6  410.9   Rural
Idaho  ada  2001  5  372.8  151.5   Rural
Alabama  mobile  2000  1  324.3  133.9   Rural
Pennsylvania  allegheny  2005  1  1675.6  807.0   Urban
Washington  walla walla  2006  3  46.3  18.5   Rural
Texas  jefferson  2001  1  287.9  119.2   Rural
Pennsylvania  montgomery  2010  8  1655.9  674.3   Urban
Texas  bowie  2002  2  104.6  43.5   Rural
Oklahoma  murray  2001  1  32.4  16.2   Rural
South Carolina  greenville  2007  6  574.7  249.0   Rural
Wisconsin  taylor  2000  1  20.2  8.8   Rural
Wisconsin  winnebago  2000  2  357.4  147.6   Rural
Kansas  kingman  2005  1  9.1  4.4   Rural
Tennessee  williamson  2009  1  314.4  117.6   Rural
Maine  somerset  2007  1  13.3  7.8   Rural
Ohio  brown  2000  1  86.0  35.0   Rural
New York  rockland  2007  1  1795.9  599.6   Urban
Georgia  houston  1993  1  294.0  118.1   Rural
Tennessee  hawkins  2001  1  116.7  55.2   Rural
Oklahoma  caddo  2001  1  23.2  10.3   Rural
California  inyo  2009  2  1.8  0.9   Rural
North Carolina  gates  2004  2  35.8  15.3   Rural
Florida  orange  2007  2  1268.5  540.0   Urban
Texas  hardin  2006  1  61.3  25.4   Rural
California  kern  2005  13  103.3  35.0   Rural
New York  warren  2006  1  75.8  44.7   Rural
Massachusetts  berkshire  2006  1  141.6  73.9   Rural
Iowa  warren  1998  1  71.1  26.7   Rural
Washington  whatcom  2002  9  95.5  43.0   Rural
Wisconsin  outagamie  2006  1  277.2  114.7   Rural
Wisconsin  eau claire  2007  1  154.8  66.1   Rural
Ohio  richland  2006  1  251.3  110.2   Rural
Maine  sagadahoc  1999  2  138.7  64.9   Rural
New Jersey  union  2000  3  5059.0  1868.0   Urban
Mississippi  lee  2007  1  184.3  79.7   Rural
Virginia  york  2001  2  2838.1  1285.9   Urban
Michigan  luce  2003  1  7.4  4.8   Rural
Tennessee  hamilton  2007  5  620.3  278.6   Rural
California  tehama  2005  1  21.5  9.1   Rural
New Hampshire  belknap  2006  3  150.1  93.4   Rural
Virginia  spotsylvania  2007  2  304.9  112.5   Rural
Texas  parmer  1996  1  11.4  4.2   Rural
Georgia  cook  2009  1  75.8  32.1   Rural
Oregon  coos  1999  1  39.2  18.3   Rural
Tennessee  shelby  2001  4  1215.5  521.9   Urban
Wyoming  park  2003  2  4.1  2.0   Rural
Florida  hillsborough  2008  14  1204.9  525.5   Urban
California  san mateo  2009  16  1602.2  604.4   Urban
Maryland  wicomico  1996  1  224.4  91.2   Rural
Texas  comanche  1998  1  15.0  7.6   Rural
Wisconsin  brown  2006  2  468.2  197.0   Rural
Georgia  troup  2009  1  161.9  67.7   Rural
Oklahoma  comanche  1998  2  107.5  42.5   Rural
California  lake  2009  1  51.5  28.2   Rural
Utah  davis  2000  4  784.9  243.4   Rural
Texas  brazos  2004  8  332.8  132.7   Rural
New York  orleans  2008  1  109.6  47.1   Rural
Virginia  loudoun  2007  3  605.8  212.3   Rural
Georgia  pike  2004  1  82.7  31.6   Rural
Maine  penobscot  2002  3  45.3  21.7   Rural
New Hampshire  carroll  2009  1  51.4  42.8   Rural
Washington  kittitas  1998  3  14.5  7.2   Rural
Michigan  lapeer  2006  4  137.4  56.5   Rural
North Carolina  wilkes  2003  2  91.9  43.8   Rural
California  san bernardino  1991  1  85.2  30.0   Rural
Indiana  floyd  2008  1  504.1  216.1   Rural
New York  chautauqua  2001  1  127.2  63.1   Rural
Rhode Island  bristol  2002  1  2064.0  862.8   Urban
California  sutter  2004  1  157.3  56.2   Rural
Arizona  navajo  1996  3  9.8  4.8   Rural
Florida  monroe  2009  4  74.3  53.7   Rural
Illinois  brown  1998  2  22.7  8.0   Rural
California  ventura  1995  3  408.2  136.4   Rural
Colorado  dolores  2004  1  1.9  1.4   Rural
Colorado  larimer  1993  1  96.7  40.5   Rural
North Carolina  cabarrus  2001  1  492.1  198.9   Rural
Tennessee  hamblen  2007  1  388.0  167.3   Rural
Kansas  jewell  2009  1  3.4  2.2   Rural
Ohio  ross  2010  1  113.3  46.6   Rural
Pennsylvania  butler  2005  1  233.1  99.1   Rural
Minnesota  chisago  2004  1  129.9  51.0   Rural
Ohio  trumbull  1995  1  365.2  154.3   Rural
Ohio  fairfield  2010  2  289.8  116.3   Rural
Alabama  winston  2008  1  39.9  22.0   Rural
Washington  spokane  2003  6  267.2  114.2   Rural
Michigan  livingston  2008  3  320.2  128.8   Rural
Nebraska  seward  2010  1  29.3  12.0   Rural
Kentucky  franklin  2007  3  237.2  111.5   Rural
Ohio  summit  2001  5  1312.6  593.8   Urban
West Virginia  monongalia  2006  1  267.1  120.1   Rural
Texas  angelina  1998  1  100.0  40.5   Rural
New York  chemung  2001  1  218.1  94.2   Rural
Indiana  greene  2005  1  61.1  28.0   Rural
South Dakota  davison  2005  1  44.8  20.3   Rural
Oregon  douglas  2006  1  21.4  9.7   Rural
Washington  skamania  2004  1  6.7  3.4   Rural
Alabama  houston  2004  2  175.1  78.2   Rural
Montana  yellowstone  1997  3  49.1  20.7   Rural
Virginia  albemarle  2002  1  137.3  58.4   Rural
Colorado  weld  2000  2  45.3  16.6   Rural
Texas  montgomery  2002  4  437.5  170.5   Rural
California  butte  2001  2  134.4  58.6   Rural
New Hampshire  strafford  2010  1  333.7  140.1   Rural
Florida  martin  2000  1  1157.9  437.9   Rural
Georgia  murray  1995  1  106.0  41.6   Rural
Utah  washington  2010  1  56.9  23.8   Rural
Minnesota  hennepin  2003  1  2081.7  920.3   Urban
West Virginia  wayne  1994  1  84.8  37.8   Rural
Arizona  maricopa  2007  54  414.9  178.2   Rural
Missouri  greene  2002  5  407.5  185.7   Rural
North Dakota  sioux  2004  1  3.8  1.2   Rural
Texas  coryell  1998  1  71.3  20.7   Rural
New Jersey  burlington  1995  2  526.2  200.5   Rural
California  placer  2000  4  176.9  76.4   Rural
Florida  santa rosa  2000  1  115.8  48.3   Rural
North Dakota  mclean  2002  1  4.2  2.6   Rural
Arizona  gila  1999  1  10.8  5.9   Rural
Massachusetts  hampshire  2009  1  299.8  118.7   Rural
Washington  king  2005  36  912.9  402.4   Rural
Texas  comal  2000  8  139.0  58.3   Rural
Kentucky  russell  2001  1  69.2  39.4   Rural
Idaho  bonneville  2005  3  55.9  21.3   Rural
New Mexico  sandoval  2005  7  35.5  14.1   Rural
Michigan  barry  1995  2  102.1  42.9   Rural
Rhode Island  washington  2002  2  385.7  188.9   Rural
Alabama  jefferson  2007  3  592.5  270.5   Rural
Delaware  kent  1993  2  214.8  85.6   Rural
New York  suffolk  1993  2  1556.0  572.6   Urban
Arizona  pinal  2002  2  70.0  29.7   Rural
Florida  volusia  2010  2  449.2  230.9   Rural
New York  otsego  2005  1  62.2  30.7   Rural
Arizona  coconino  2001  9  7.2  3.4   Rural
Texas  dallas  1992  1  2522.6  971.0   Urban
Washington  pierce  2007  26  476.3  194.9   Rural
Rhode Island  providence  2005  11  1530.3  646.7   Urban
Michigan  ingham  2002  3  505.1  218.1   Rural
Illinois  cook  1998  19  5685.6  2216.5   Urban
Missouri  christian  2005  1  137.6  56.1   Rural
Wisconsin  rock  2006  1  223.3  95.3   Rural
Kentucky  lewis  2002  1  28.7  13.4   Rural
Nevada  washoe  2005  9  66.9  29.3   Rural
Texas  cameron  2004  2  456.0  159.3   Rural
Utah  box elder  1999  2  7.5  2.5   Rural
New York  nassau  1992  1  4655.0  1598.1   Urban
Indiana  howard  2000  1  289.9  128.3   Rural
New Jersey  sussex  2003  1  287.6  119.6   Rural
Kentucky  greenup  2010  1  107.2  47.4   Rural
Georgia  camden  1999  1  69.3  26.9   Rural
Utah  millard  2006  1  1.9  0.8   Rural
Florida  sarasota  2003  2  682.6  410.9   Rural
Alabama  covington  1994  1  36.4  18.0   Rural
Delaware  sussex  2009  3  210.6  131.4   Rural
Pennsylvania  berks  2006  10  480.4  192.4   Rural
Idaho  ada  2008  2  372.8  151.5   Rural
Washington  adams  2007  1  9.7  3.2   Rural
Georgia  dekalb  2005  2  2585.7  1139.7   Urban
Arizona  graham  2005  1  8.1  2.8   Rural
Kansas  marshall  2008  1  11.2  5.4   Rural
Washington  yakima  2005  2  56.6  19.9   Rural
Indiana  wayne  2007  1  171.5  77.8   Rural
Colorado  elbert  2002  2  12.5  4.8   Rural
Delaware  new castle  2000  3  1173.6  468.1   Rural
South Dakota  pennington  2003  1  36.4  16.2   Rural
Alabama  mobile  2009  2  335.9  144.9   Rural
Georgia  bartow  1999  1  165.5  62.6   Rural
Montana  jefferson  2004  1  6.9  3.1   Rural
California  napa  1999  1  164.9  64.4   Rural
Wisconsin  winnebago  2009  2  384.3  168.8   Rural
Tennessee  williamson  2002  2  314.4  117.6   Rural
Florida  leon  2003  2  413.1  186.2   Rural
Nevada  lyon  1998  1  17.3  7.2   Rural
Arkansas  sebastian  2003  5  236.4  102.7   Rural
Alabama  morgan  1998  2  190.8  81.4   Rural
Arkansas  monroe  1999  1  16.9  8.4   Rural
Pennsylvania  tioga  1997  1  36.5  17.5   Rural
Kentucky  bourbon  2001  1  69.0  30.8   Rural
Texas  crockett  2001  1  1.3  0.7   Rural
Missouri  cass  2009  1  142.8  57.4   Rural
Iowa  warren  2005  1  81.1  32.2   Rural
Georgia  henry  2008  1  633.0  237.6   Rural
Tennessee  hamilton  1998  1  567.6  248.3   Rural
Georgia  mcduffie  2003  1  85.0  36.2   Rural
North Carolina  alamance  1995  1  304.2  129.0   Rural
Illinois  sangamon  2003  2  227.4  103.5   Rural
Florida  charlotte  2004  6  235.2  147.9   Rural
